Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Kutcha Wall & Roof Households (hh_kutcha_wall_roof),Kutcha Wall & Roof Households (%) (perct_hh_kutcha_wall_roof),PMAY Houses (pmay_house),PMAY Permanent Waitlist (pmay_permanent_wait_list),State Housing Scheme Houses (any_state_housing_scheme),State Housing Scheme Permanent Waitlist (any_state_housing_permanent_wait_list)
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192040","Vanai Gr","551743","Chandranagar",143,26.68,72,143,374,162
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192033","Shilonda Gr.","551626","Kalamdevi",177,22.61,49,35,0,15
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192033","Shilonda Gr.","551627","Shilonda",295,69.58,100,50,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192018","Nimbapur Gr.","551662","Bandhghar",25,9.8,70,20,65,55
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192018","Nimbapur Gr.","551663","Nimbapur",30,8.24,70,40,8,15
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192002","Ganjad Gr.","551670","Manipur",4,1.37,52,42,5,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192002","Ganjad Gr.","551671","Devgaon",4,1.4,25,12,5,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192002","Ganjad Gr.","551672","Somnath",4,1.19,45,25,2,2
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192002","Ganjad Gr.","551673","Ganeshbag",4,1.77,45,12,5,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192002","Ganjad Gr.","551684","Navnath",4,1.13,45,42,5,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192002","Ganjad Gr.","551685","Ganjad",4,1.09,28,12,5,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192039","Vadvan","551722","Vadvan",35,11.82,25,10,10,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192029","Sarni Gr.","551653","Ambivali Tarf Bahare",150,37.41,50,20,10,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192029","Sarni Gr.","551698","Sarni",32,10.26,53,57,5,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192029","Sarni Gr.","551707","Nikavali",28,25.93,15,18,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192003","Gholwad","551583","Gholwad",34,3.42,14,0,7,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192015","Nagzari","551647","Bodgaon",12,11.54,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192015","Nagzari","551648","Nagzari",35,4.26,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192012","Kinhavali","551632","Kinhavali",35,10.57,25,6,3,13
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192012","Kinhavali","551633","Alkapur",53,23.77,20,10,8,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191989","Dabhadi Gr.","551603","Patilpada",5,0.88,49,250,15,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191989","Dabhadi Gr.","551631","Dabhadi",10,2.43,45,26,26,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","237281","Tadiyale","551715","Tadiyale",5,2.13,2,2,4,4
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192035","Sogave","551595","Sogave",113,23.99,18,6,3,6
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192014","Murbad Gr.","551747","Murbad",30,5.64,5,15,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192014","Murbad Gr.","551748","Vangarje",350,66.41,5,18,2,520
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192014","Murbad Gr.","551749","Pimpalshet Bk.",31,11.31,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","237260","Dhakti Dahanu","551714","Dhakti Dahanu",25,2.55,78,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192013","Modgaon","551624","Tornipada",657,71.03,11,0,9,0
